Date,ICICI Pru Balanced Advantage,UTI Multi Asset Allocation,HDFC Small Cap,Mirae Asset Large & Midcap
2013-01-02,17.4,23.74,,14.105
2013-01-03,17.45,23.83,,14.099
2013-01-04,17.46,23.75,,14.139
2013-01-07,17.46,23.71,,14.135
2013-01-08,17.46,23.71,,14.115
2013-01-09,17.46,23.65,,14.103
2013-01-10,17.45,23.59,,14.091
2013-01-11,17.39,23.45,,13.96
2013-01-14,17.49,23.61,,14.138
2013-01-15,17.55,23.69,,14.22
2013-01-16,17.44,23.5,,14.092
2013-01-17,17.5,23.55,,14.148
2013-01-18,17.49,23.54,,14.118
2013-01-21,17.52,23.55,,14.122
2013-01-22,17.47,23.5187,,14.031
2013-01-23,17.43,23.477,,13.926
2013-01-24,17.33,23.2498,,13.722
2013-01-25,17.45,23.4211,,13.882
2013-01-28,17.46,23.3986,,13.836
2013-01-29,17.42,23.2648,,13.822
2013-01-30,17.43,23.2587,,13.759
2013-01-31,17.38,23.2673,,13.798
2013-02-01,17.32,23.1503,,13.809
2013-02-04,17.3,23.1385,,13.721
2013-02-05,17.22,23.0752,,13.626
2013-02-06,17.23,23.0688,,13.63
2013-02-07,17.19,23.0158,,13.525
2013-02-08,17.13,22.8944,,13.474
2013-02-11,17.12,22.8518,,13.452
2013-02-12,17.15,22.8758,,13.473
2013-02-13,17.17,22.9006,,13.476
2013-02-14,17.09,22.7463,,13.341
2013-02-15,17.02,22.7017,,13.331
2013-02-18,17.05,22.6975,,13.341
2013-02-19,17.14,22.811,,13.46
2013-02-20,17.15,22.8136,,13.448
2013-02-21,16.99,22.5061,,13.245
2013-02-22,17.0,22.5312,,13.236
2013-02-25,16.98,22.4777,,13.155
2013-02-26,16.83,22.2598,,12.976
2013-02-27,16.88,22.3844,,13.082
2013-02-28,16.73,22.0921,,12.886
2013-03-01,16.79,22.1308,,13.013
2013-03-04,16.77,22.0623,,12.918
2013-03-05,16.89,22.2429,,13.037
2013-03-06,16.97,22.3282,,13.079
2013-03-07,17.03,22.4222,,13.14
2013-03-08,17.14,22.5693,,13.289
2013-03-11,17.13,22.5719,,13.29
2013-03-12,17.08,22.4867,,13.232
2013-03-13,16.95,22.3097,,13.075
2013-03-14,17.03,22.4121,,13.139
2013-03-15,16.97,22.3191,,13.051
2013-03-18,16.92,22.2533,,13.015
2013-03-19,16.8,22.0361,,12.922
2013-03-20,16.68,21.8737,,12.69
2013-03-21,16.61,21.7874,,12.627
2013-03-22,16.59,21.7509,,12.633
2013-03-25,16.56,21.6746,,12.593
2013-03-26,16.54,21.7002,,12.594
2013-03-28,16.64,21.814,,12.715
2013-04-01,16.69,21.9177,,12.833
2013-04-02,16.8,22.0119,,12.994
2013-04-03,16.66,21.7609,,12.838
2013-04-04,16.48,21.4524,,12.619
2013-04-05,16.5,21.4428,,12.567
2013-04-08,16.5,21.4977,,12.561
2013-04-09,16.39,21.3613,,12.435
2013-04-10,16.51,21.554,,12.514
2013-04-11,16.55,21.5884,,12.523
2013-04-12,16.45,21.348,,12.535
2013-04-15,16.49,21.0334,,12.533
2013-04-16,16.66,21.2117,,12.691
2013-04-17,16.68,21.2066,,12.762
2013-04-18,16.81,21.4119,,12.866
2013-04-22,16.95,21.599,,13.043
2013-04-23,16.92,21.5922,,13.036
2013-04-25,17.05,21.8544,,13.119
2013-04-26,17.06,21.7734,,13.08
2013-04-29,17.11,21.8767,,13.183
2013-04-30,17.18,21.9319,,13.219
2013-05-02,17.24,22.0592,,13.292
2013-05-03,17.14,21.9616,,13.23
2013-05-06,17.24,22.0744,,13.319
2013-05-07,17.34,22.2004,,13.443
2013-05-08,17.34,22.2322,,13.552
2013-05-09,17.31,22.2349,,13.523
2013-05-10,17.38,22.3243,,13.603
2013-05-13,17.24,22.0902,,13.439
2013-05-14,17.3,22.1151,,13.459
2013-05-15,17.48,22.4395,,13.667
2013-05-16,17.53,22.4264,,13.709
2013-05-17,17.55,22.4416,,13.701
2013-05-20,17.53,22.2676,,13.617
2013-05-21,17.47,22.2009,,13.537
2013-05-22,17.42,22.1432,,13.444
2013-05-23,17.23,21.7947,,13.227
2013-05-24,17.26,21.807,,13.287
2013-05-27,17.37,22.0516,,13.423
2013-05-28,17.42,22.1371,,13.512
2013-05-29,17.37,22.1171,,13.486
2013-05-30,17.4,22.1939,,13.482
2013-05-31,17.27,21.9545,,13.328
2013-06-03,17.25,21.919,,13.31
2013-06-04,17.23,21.8951,,13.327
2013-06-05,17.25,21.8808,,13.307
2013-06-06,17.27,21.9859,,13.322
2013-06-07,17.21,21.9416,,13.275
2013-06-10,17.14,21.8913,,13.13
2013-06-11,17.02,21.6319,,12.971
2013-06-12,17.03,21.5529,,12.94
2013-06-13,16.91,21.4145,,12.719
2013-06-14,17.05,21.6397,,12.892
2013-06-17,17.11,21.8008,,12.966
2013-06-18,17.08,21.779,,12.975
2013-06-19,17.11,21.8065,,13.063
2013-06-20,16.83,21.2735,,12.825
2013-06-21,16.82,21.1936,,12.728
2013-06-24,16.64,20.9317,,12.537
2013-06-25,16.64,20.9347,,12.505
2013-06-26,16.61,20.7289,,12.478
2013-06-27,16.72,20.9895,,12.525
2013-06-28,16.99,21.2736,,12.758
2013-07-01,17.12,21.5795,,12.907
2013-07-02,17.09,21.528,,12.873
2013-07-03,16.93,21.2154,,12.732
2013-07-04,17.06,21.3701,,12.799
2013-07-05,17.11,21.4665,,12.778
2013-07-08,17.02,21.2828,,12.701
2013-07-09,17.13,21.4207,,12.778
2013-07-10,17.09,21.3445,,12.796
2013-07-11,17.24,21.6684,,12.872
2013-07-12,17.36,21.8333,,12.922
2013-07-15,17.41,21.9398,,13.019
2013-07-16,17.22,21.7084,,12.871
2013-07-17,17.16,21.7711,,12.77
2013-07-18,17.26,21.9158,,12.91
2013-07-19,17.27,21.9272,,12.826
2013-07-22,17.28,22.0469,,12.831
2013-07-23,17.32,22.2138,,12.887
2013-07-24,17.15,21.9773,,12.687
2013-07-25,17.05,21.7128,,12.624
2013-07-26,17.03,21.7089,,12.553
2013-07-29,16.97,21.643,,12.468
2013-07-30,16.83,21.4657,,12.217
2013-07-31,16.8,21.597,,12.257
2013-08-01,16.82,21.4969,,12.133
2013-08-02,16.71,21.3007,,12.073
2013-08-05,16.76,21.4231,,12.094
2013-08-06,16.51,21.041,,11.836
2013-08-07,16.5,20.9401,,11.865
2013-08-08,16.64,21.1076,,12.032
2013-08-12,16.76,21.3685,,12.243
2013-08-13,16.94,21.7142,,12.399
2013-08-14,17.01,21.8588,,12.562
2013-08-16,16.66,21.5042,,12.218
2013-08-19,16.39,21.2776,,11.97
2013-08-20,16.4,21.1779,,11.873
2013-08-21,16.24,21.0575,,11.739
2013-08-22,16.41,21.3108,,11.801
2013-08-23,16.56,21.4639,,11.976
2013-08-26,16.6,21.5783,,12.038
2013-08-27,16.14,21.18,,11.743
2013-08-28,16.09,21.1596,,11.574
2013-08-29,16.35,21.4018,,11.792
2013-08-30,16.49,21.4184,,11.839
2013-09-02,16.65,21.557,,11.933
2013-09-03,16.28,21.2973,,11.713
2013-09-04,16.49,21.4962,,11.887
2013-09-05,16.8,21.6696,,12.137
2013-09-06,16.97,21.7631,,12.229
2013-09-10,17.27,22.1338,,12.419
2013-09-11,17.39,22.1698,,12.554
2013-09-12,17.31,22.0142,,12.476
2013-09-13,17.3,21.958,,12.516
2013-09-16,17.32,21.9276,,12.47
2013-09-17,17.39,21.9906,,12.436
2013-09-18,17.49,22.1037,,12.491
2013-09-19,17.86,22.6787,,12.773
2013-09-20,17.7,22.4233,,12.664
2013-09-23,17.54,22.0947,,12.52
2013-09-24,17.53,22.0423,,12.543
2013-09-25,17.5,22.0586,,12.558
2013-09-26,17.54,22.0554,,12.562
2013-09-27,17.48,21.9728,,12.567
2013-09-30,17.41,21.8543,,12.509
2013-10-01,17.48,21.9075,,12.628
2013-10-03,17.68,22.2138,,12.822
2013-10-04,17.73,22.2091,,12.88
2013-10-07,17.77,22.2533,,12.958
2013-10-08,17.85,22.3655,,12.989
2013-10-09,17.98,22.5078,,13.152
2013-10-10,18.06,22.5757,,13.277
2013-10-11,18.16,22.7198,,13.339
2013-10-14,18.18,22.8161,,13.383
2013-10-15,18.14,22.7433,,13.245
2013-10-17,18.08,22.7036,,13.165
2013-10-18,18.28,23.0077,,13.347
2013-10-21,18.33,23.106,,13.489
2013-10-22,18.33,23.1464,,13.538
2013-10-23,18.34,23.1281,,13.517
2013-10-24,18.36,23.0533,,13.54
2013-10-25,18.33,23.0038,,13.497
2013-10-28,18.25,22.9042,,13.395
2013-10-29,18.41,23.0689,,13.542
2013-10-30,18.46,23.0912,,13.598
2013-10-31,18.54,23.2224,,13.752
2013-11-01,18.58,23.3793,,13.88
2013-11-05,18.6,23.2556,,14.047
2013-11-06,18.59,23.1592,,14.109
2013-11-07,18.55,23.0501,,14.003
2013-11-08,18.54,22.9669,,14.067
2013-11-11,18.46,22.7702,,14.008
2013-11-12,18.39,22.6579,,13.956
2013-11-13,18.32,22.5375,,13.865
2013-11-14,18.46,22.7101,,14.07
2013-11-18,18.66,23.038,,14.219
2013-11-19,18.69,23.0752,,14.29
2013-11-20,18.59,22.841,,14.225
2013-11-21,18.39,22.5054,,14.103
2013-11-22,18.41,22.5229,,14.11
2013-11-25,18.62,22.758,,14.249
2013-11-26,18.54,22.6023,,14.165
2013-11-27,18.57,22.5569,,14.134
2013-11-28,18.62,22.6284,,14.181
2013-11-29,18.77,22.8639,,14.322
2013-12-02,18.85,22.8971,,14.45
2013-12-03,18.83,22.8204,,14.493
2013-12-04,18.78,22.7121,,14.407
2013-12-05,18.91,22.907,,14.476
2013-12-06,18.94,22.9089,,14.568
2013-12-09,19.08,23.1661,,14.702
2013-12-10,19.04,23.11,,14.63
2013-12-11,19.01,22.9568,,14.598
2013-12-12,18.93,22.7306,,14.527
2013-12-13,18.82,22.539,,14.394
2013-12-16,18.83,22.5323,,14.515
2013-12-17,18.84,22.467,,14.539
2013-12-18,18.97,22.6393,,14.724
2013-12-19,18.94,22.5603,,14.763
2013-12-20,19.13,22.9349,,14.996
2013-12-23,19.16,22.911,,15.099
2013-12-24,19.12,22.8611,,15.15
2013-12-26,19.18,22.8642,,15.198
2013-12-27,19.25,22.9082,,15.195
2013-12-30,19.23,22.7989,,15.181
2013-12-31,19.25,22.8383,,15.26
2014-01-01,19.26,22.8315,,15.343
2014-01-02,19.12,22.5859,,15.143
2014-01-03,19.15,22.5917,,15.222
2014-01-06,19.12,22.5395,,15.342
2014-01-07,19.09,22.3859,,15.315
2014-01-08,19.12,22.4087,,15.409
2014-01-09,19.08,22.353,,15.379
2014-01-10,19.07,22.3516,,15.306
2014-01-13,19.19,22.5329,,15.307
2014-01-14,19.15,22.4686,,15.289
2014-01-15,19.29,22.7305,,15.296
2014-01-16,19.23,22.6679,,15.278
2014-01-17,19.13,22.4751,,15.102
2014-01-20,19.19,22.6685,,15.284
2014-01-21,19.21,22.7386,,15.338
2014-01-22,19.26,22.7974,,15.419
2014-01-23,19.23,22.7876,,15.397
2014-01-24,19.08,22.5969,,15.187
2014-01-27,18.83,22.3228,,14.859
2014-01-28,18.78,22.3151,,14.89
2014-01-29,18.77,22.3254,,14.91
2014-01-30,18.64,22.1616,,14.774
2014-01-31,18.78,22.3211,,15.102
2014-02-03,18.67,22.0548,,15.027
2014-02-04,18.72,22.0485,,15.05
2014-02-05,18.79,22.0876,,15.201
2014-02-06,18.82,22.1614,,15.237
2014-02-07,18.88,22.2132,,15.344
2014-02-10,18.87,22.2,,15.341
2014-02-11,18.91,22.2969,,15.408
2014-02-12,18.99,22.3139,,15.492
2014-02-13,18.76,22.1581,,15.31
2014-02-14,18.84,22.2643,,15.381
2014-02-17,18.89,22.3253,,15.394
2014-02-18,18.98,22.4998,,15.53
2014-02-19,19.05,22.5557,,15.616
